transcripts	GO-terms
gbgene1	
gbgene2	
gbgene3	GO:0003674,GO:0005575
gbgene4	GO:0008168
gbgene5	GO:0070182,GO:0006281
gbgene6	
gbgene7	GO:0045169,GO:0007098,GO:0008302,GO:0005886,GO:0030724,GO:0014069,GO:0045214,GO:0051015,GO:0005737,GO:0045172,GO:0030723,GO:0005884,GO:0016328,GO:0007411,GO:0007294,GO:0000212,GO:0005856,GO:0061572,GO:0035183,GO:0072499,GO:0007282,GO:0045478,GO:0007527,GO:0048135,GO:0048477,GO:0045170,GO:0048134
gbgene8	GO:0005615,GO:0016042,GO:0016298
gbgene9	GO:0042386,GO:0000398,GO:0003729,GO:0071011,GO:0030097,GO:0008380
gbgene10	GO:0005739,GO:0009083,GO:0055085,GO:0015658
gbgene11	GO:0005739,GO:0005759,GO:0044528,GO:0003723,GO:0000963,GO:0035770
gbgene12	GO:0006355,GO:0010389,GO:0003712,GO:0000118
gbgene13	GO:0017171,GO:0009636,GO:0016787,GO:0007586
gbgene14	GO:0005654,GO:0043015,GO:0005635,GO:0001578,GO:0005521,GO:0051020,GO:0071765,GO:0005737,GO:0035751,GO:0005515,GO:0048477,GO:0051764,GO:2001135,GO:0035277,GO:0033630,GO:0140591,GO:0030036,GO:0033044,GO:0032456,GO:1903353,GO:0055037,GO:0048471,GO:0005634,GO:0043014,GO:0005769,GO:0006887,GO:0031507,GO:0006998,GO:0035210,GO:0034314,GO:0042147,GO:0051017,GO:0071203,GO:0005768,GO:0003682
gbgene15	GO:0008150,GO:0003674,GO:0005575
gbgene16	
gbgene17	GO:0006397,GO:0003723,GO:0005634,GO:0005737
gbgene18	GO:0006898,GO:1903688,GO:0007032,GO:0010008,GO:2000641
gbgene19	GO:0030864,GO:0007298,GO:0045214,GO:0051015,GO:0030834,GO:0030833,GO:0030836,GO:0035317,GO:0040011,GO:0034316,GO:0005856,GO:0030042,GO:0001736
gbgene20	GO:0004694,GO:0046330,GO:0010508,GO:0004672,GO:0036499,GO:0006468,GO:0005829,GO:0010389,GO:0005524,GO:0004686
gbgene21	GO:0005744,GO:0002168,GO:0030150
gbgene22	
gbgene23	
gbgene24	GO:0045211,GO:0043197,GO:0035331,GO:0043195,GO:0005515,GO:0035255,GO:1990255,GO:0008284,GO:0050808,GO:2000050,GO:0031594,GO:0097107,GO:0051124,GO:0014069,GO:0030424,GO:0030160
gbgene25	
gbgene26	
gbgene27	
gbgene28	GO:0008270,GO:0004842,GO:0005737,GO:0072572,GO:0005829,GO:0061630,GO:0032436,GO:0031648,GO:0090263,GO:0006511,GO:0005634
gbgene29	GO:0035317,GO:0005515,GO:0007291
gbgene30	GO:0044255,GO:0005635,GO:0005524,GO:0046467,GO:0030307,GO:0071218,GO:0070050,GO:0099050,GO:0005783,GO:0106083,GO:0016887,GO:0140591,GO:0043104,GO:0008057,GO:0010883,GO:0007504,GO:0042053,GO:0070328,GO:1903741,GO:0051085
gbgene31	GO:0003833,GO:0043041,GO:0006631
gbgene32	GO:0045944,GO:0005654,GO:0007399,GO:0005667,GO:0016592,GO:0006357,GO:0003712,GO:0006963
gbgene33	GO:0005739,GO:0005760,GO:0005737,GO:0003727,GO:0006261,GO:0000002,GO:0071667,GO:1900264,GO:0030337,GO:0006281,GO:0006264
gbgene34	
gbgene35	GO:0005739,GO:0006450,GO:0070681,GO:0050567,GO:0030956,GO:0032543
gbgene36	
gbgene37	
gbgene38	
gbgene39	
gbgene40	GO:0051131,GO:0005737,GO:0005829,GO:0140662,GO:0006457,GO:0005524,GO:0005634
gbgene41	
gbgene42	GO:0016021,GO:0045332,GO:0140326,GO:0005524,GO:0005886,GO:0016887,GO:0005802,GO:0000287
gbgene43	
gbgene44	GO:0015755,GO:0033300,GO:0005887,GO:0005353,GO:1904659,GO:0070837,GO:0005886,GO:0005355
gbgene45	GO:0015755,GO:0033300,GO:0005887,GO:0005353,GO:1904659,GO:0070837,GO:0005886,GO:0005355
gbgene46	GO:0004674,GO:0005524,GO:0035556,GO:0006468
gbgene47	
gbgene48	
gbgene49	
gbgene50	
gbgene51	
gbgene52	
gbgene53	
gbgene54	
gbgene55	
gbgene56	
gbgene57	
gbgene58	
gbgene59	
gbgene60	
gbgene61	
gbgene62	
gbgene63	
gbgene64	
gbgene65	
gbgene66	
gbgene67	
gbgene68	
gbgene69	
gbgene70	
gbgene71	GO:0006508,GO:0004252,GO:0042060
gbgene72	GO:0006508,GO:0004252
gbman.GBUE020957-PA.1	GO:0035483,GO:0022414,GO:0035218,GO:0022416,GO:0005515,GO:0045475,GO:0045893,GO:0036011,GO:0042220,GO:2000172,GO:0005634,GO:1904060,GO:0007476
gbgene75	
gbgene76	GO:0003333,GO:0015171
gbgene77	GO:0006405,GO:0031267,GO:0005737,GO:0005049,GO:0006611,GO:0003723,GO:0005634,GO:0042565
gbgene78	
