Gene_id,GB-12-6_S45,GB-12-5_S44,GB-12-13_S47,GB-12-15_S48,GB-18-1_S41,GB-18-2_S42,GB-18-3_S43,SB-18-8-S46
jg12245,0,0,2,0,0,0,0,0
jg30574,0,0,0,0,0,0,0,0
jg25787,670,1296,18752,8417,2522,7830,3132,9958
jg231,0,0,0,0,0,2,0,0
jg17585,2,13,0,3,19,2,3,9
jg23933,37,21,33,5,15,15,39,28
jg25433,0,4,0,0,0,0,1,0
jg5857,6,0,0,0,1,2,0,0
jg33022,333,702,512,489,381,491,584,754
jg28490,14,12,9,6,8,13,23,16
jg21940,1039,2157,1144,1037,901,924,1366,1544
jg23536,0,0,0,1,0,0,0,0
jg3421,18,61,1,3,0,1,1,1
jg23965,110,567,68,324,93,4,212,271
jg16543,26,19,36,44,13,45,31,44
jg17294,13,4,3,0,25,2,8,0
jg1679,2127,3536,2817,3150,3358,2607,4038,4328
jg31172,0,0,0,0,0,0,2,0
jg578,2644,2335,1898,681,591,777,940,763
jg27066,0,0,0,0,0,0,0,1
jg30497,385,638,194,320,239,78,426,355
jg30399,2,6,1,1,4,1,11,2
jg6640,4,1,13,14,1,6,5,9
jg28348,0,0,1,0,0,0,0,0
jg33853,8314,16014,11107,10873,7620,11255,12780,12945
jg7564,294,2800,176,246,136,118,201,222
jg8530,8,1,5,73,18,2,62,109
jg36215,1,0,0,0,0,0,0,0
jg16977,466,1087,440,686,481,52,889,950
jg15588,0,0,4,2,3,0,8,0
jg30730,10,14,1,5,1,0,0,5
jg12523,33,56,1,95,205,2,5,169
jg30858,3,5,2,18,1,2,5,4
jg21261,0,0,0,0,0,0,0,0
jg6077,3,6,3,4,2,3,0,3
jg20768,0,0,0,0,0,0,0,0
jg29556,77,253,143,183,296,42,345,264
jg21544,1,0,0,0,1,0,1,1
jg25869,0,0,0,2,4,0,1,5
jg17771,0,0,0,0,0,0,0,0
jg1945,0,0,32,5,1,3,509,23
jg37268,40,27,72,37,38,83,42,48
jg28253,0,0,0,0,0,0,0,0
jg10621,195,213,127,168,92,151,356,199
jg8454,28,9,15,10,27,0,34,48
jg1001,69,575,77,54,335,66,332,65
