Genes	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene1	1089	469	179	621	312	8	510	504
gbgene2	0	0	0	1	0	0	2	0
gbgene3	712	490	777	618	455	447	805	835
gbgene4	1903	1312	1617	1334	1030	1046	1961	2019
gbgene5	207	120	441	379	224	149	395	489
gbgene6	0	16	2	1	0	5	3	2
gbgene7	20749	11632	14676	17471	11330	9778	18978	18431
gbgene8	205	68	3	30	252	141	318	27
gbgene9	1457	1208	1566	1484	1150	1159	1797	2181
gbgene10	835	595	610	636	601	491	972	760
gbgene11	687	371	439	592	404	267	680	651
gbgene12	249	144	179	227	194	157	238	298
gbgene13	559	258	504	587	406	462	541	648
gbgene14	6642	3661	2525	4125	3022	1292	5479	4794
gbgene15	20173	9466	5965	10768	8080	3	11013	12010
gbgene16	112	155	71	26	3	24	14	9
gbgene17	445	459	563	841	551	471	991	647
gbgene18	1283	559	683	1315	795	226	1139	1090
gbgene19	2446	1374	2795	2371	1679	1891	2671	2962
gbgene20	159	90	199	247	158	78	235	241
gbgene21	3419	2242	1272	2005	1703	799	2397	2857
gbgene22	5	1	22	8	3	11	24	11
gbgene23	0	0	4	0	0	1	0	0
gbgene24	10	12	4	4	5	3	7	6
gbgene25	0	0	0	0	0	0	0	0
gbgene26	164	36	39	10	6	112	130	96
gbgene27	80	37	52	26	20	105	32	19
gbgene28	0	0	0	2	0	0	0	0
gbgene29	2770	1172	2314	2930	1943	2138	3317	2922
gbgene30	15144	9025	4495	7830	7477	211	11603	13043
gbgene31	394	195	299	460	332	220	333	413
gbgene32	1470	813	1591	1606	863	1333	1589	1555
gbgene33	1032	434	572	639	363	489	572	966
gbgene34	1218	474	908	1428	1130	659	1784	1685
gbgene35	310	97	178	158	98	140	141	199
gbgene36	303	10	34	27	19	41	95	25
gbgene37	1901	1270	652	1202	1022	138	1516	1655
gbgene38	66325	34481	14161	26109	21086	21	31002	34352
gbgene39	151	93	120	89	114	262	148	187
gbgene40	8744	3795	4656	7320	6198	2833	8452	8962
gbgene41	5409	2767	1182	2427	1790	1	2384	2693
gbgene42	1162	308	424	895	630	111	895	845
gbgene43	114	64	92	112	59	91	120	113
gbgene44	130	42	102	283	149	2	245	215
gbgene45	122	92	61	137	106	3	100	174
gbgene46	19104	9012	4607	6877	6354	79	10187	10144
gbgene47	37	25	685	595	251	823	604	389
gbgene48	57	90	25	46	15	79	38	106
gbgene49	126	707	5757	1769	66	2230	881	167
gbgene50	483	287	347	433	313	1	873	877
gbgene51	4	40	53	207	13	252	4	17
gbgene52	256	152	24	24	305	41	59	20
gbgene53	8889	5402	23056	20763	18105	39621	20695	9617
gbgene54	1259	5217	15596	8751	5249	9264	6600	1929
gbgene55	324	237	125	253	207	197	165	237
gbgene56	1817	1134	2152	1598	1812	2371	1744	554
gbgene57	4714	5341	12718	14075	13862	16191	13725	3807
gbgene58	9598	7347	11080	8107	7770	13394	9296	4572
gbgene59	356	335	371	328	357	633	412	38
gbgene60	1516	264	5700	3780	3070	5507	4712	1128
gbgene61	44878	42854	53425	57677	48032	64460	65902	22648
