Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	GO_ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank_in_classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP	GO_ID_CC	Term_CC	Annotated_CC	Significant_CC	Expected_CC	Rank_in_classicFisher_CC	classicFisher_CC	elimFisher_CC	weight01Fisher_CC	parentchildFisher_CC	weightFisher_CC	leaFisher_CC	GO_ID_MF	Term_MF	Annotated_MF	Significant_MF	Expected_MF	Rank_in_classicFisher_MF	classicFisher_MF	elimFisher_MF	weight01Fisher_MF	parentchildFisher_MF	weightFisher_MF	leaFisher_MF
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0006629	lipid metabolic process	781	5	2.64	247	0.12039	0.12039	0.01628	0.2493	1	0.2491	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0006629	lipid metabolic process	781	5	2.64	247	0.12039	0.12039	0.01628	0.2493	1	0.2491	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0006629	lipid metabolic process	781	5	2.64	247	0.12039	0.12039	0.01628	0.2493	1	0.2491	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0006629	lipid metabolic process	781	5	2.64	247	0.12039	0.12039	0.01628	0.2493	1	0.2491	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway	11	1	0.04	145	0.03663	0.03663	0.03663	0.0237	0.03663	0.03663	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway	11	1	0.04	145	0.03663	0.03663	0.03663	0.0237	0.03663	0.03663	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway	11	1	0.04	145	0.03663	0.03663	0.03663	0.0237	0.03663	0.03663	GO:0048471	perinuclear region of cytoplasm	271	3	1.22	32	0.12228	0.12228	0.12228	0.12451	0.12228	0.12228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0010642	negative regulation of platelet-derived growth factor receptor signaling pathway	11	1	0.04	145	0.03663	0.03663	0.03663	0.0237	0.03663	0.03663	GO:0070062	extracellular exosome	251	7	1.13	6	0.00012	0.00012	0.00012	0.22527	1	0.00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0014012	peripheral nervous system axon regeneration	9	1	0.03	130	0.03007	0.03007	0.03007	0.2812	0.03007	0.03007	GO:0005576	extracellular region	1371	23	6.17	2	3.1e-09	0.00045	0.00033	3.6e-09	4e-04	3.1e-09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene898	50245.1969128214	3.18275992127849	0.374759753907091	8.49296897129639	2.01424089880927e-17	2.63623848836157e-13	GO:0014012	peripheral nervous system axon regeneration	9	1	0.03	130	0.03007	0.03007	0.03007	0.2812	0.03007	0.03007	GO:0005615	extracellular space	654	14	2.95	3	6.2e-07	0.00087	0.00087	6.8e-07	6.2e-07	6.2e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
