Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	12-5	12-6	12-13	12-15	18-1	18-2	18-3	18-8
gbgene10194	29.8348188591559	-22.8227001836777	3.38461481132295	-6.74307165096787	1.55072685507367e-11	2.01361882131317e-07	0	181	0	0	0	0	0	0
gbgene1643	12138.0312512881	-10.7922206344426	1.79968899861445	-5.99671423382116	2.01349925797919e-09	2.61452878648598e-05	34	73440	116	84	15	18	9	10
gbgene1640	5151.64019682274	-9.524741036102	1.61542979652712	-5.89610335068628	3.72185909269856e-09	4.83283403186909e-05	175	30955	185	38	15	8	24	13
gbgene13656	4150.23286024083	-10.0945414095308	1.72560975171693	-5.84984026630993	4.92045312483935e-09	6.38920838260389e-05	80	25066	43	21	5	8	12	7
gbgene938	18534.6528282776	-10.6451900613566	1.82093931329181	-5.84598837734616	5.03569206551115e-09	6.53884614706623e-05	47	112213	68	135	21	28	20	23
gbgene9043	12225.2143019627	-8.87709973622812	1.55195134828357	-5.71996006578816	1.06549092622262e-08	0.000138353996770007	982	72166	1717	78	22	33	162	22
gbgene1321	20553.3665054763	-9.43966974103565	1.65961659701246	-5.68786173748104	1.28639904788864e-08	0.00016703891636834	271	123886	533	139	60	35	79	82
gbgene8113	3519.5489858053	-8.81727259207633	1.58100549551438	-5.57700312686618	2.44697472590405e-08	0.000317739668158641	176	21109	86	55	10	16	28	12
gbgene779	5152.65698324416	-8.33490116423791	1.51021015365733	-5.51903398613299	3.40868271977711e-08	0.000442617451163058	716	30296	605	44	23	10	94	21
gbgene6816	15098.7251368303	-8.74494161910811	1.61409579574894	-5.4178578756848	6.0317331965386e-08	0.000783220555570537	1326	89952	880	86	44	34	227	17
gbgene12453	5042.78778325667	-9.29590991457838	1.73772535816334	-5.34947013974841	8.82121133770083e-08	0.00114543429220045	60	30420	88	43	7	8	53	7
gbgene4194	3401.43045247396	-7.71858940319541	1.44434298725073	-5.34401417899189	9.09104520862154e-08	0.00118047222033951	1298	19405	536	28	24	16	92	13
gbgene12390	1122.88991952988	-7.60632832616682	1.43516984186578	-5.29994994618775	1.15834432634393e-07	0.0015041101077576	504	6332	220	6	12	7	24	6
gbgene940	618.972716268247	-8.60667391602272	1.62772614747269	-5.28754417896767	1.23969426388205e-07	0.00160974300165084	49	3695	23	10	2	4	6	1
gbgene14245	1406.93646777238	-7.51793226342969	1.4304910238885	-5.25549069367363	1.47630318932665e-07	0.00191697969134066	735	7864	286	10	13	9	40	5
gbgene13466	3047.23779855558	-8.08594435963108	1.55319934991378	-5.20599262424359	1.92962309991815e-07	0.00250561559524372	464	17682	641	20	12	13	74	3
gbgene13651	6684.04086440397	-7.53285644193211	1.49950940775293	-5.02354730352801	5.0725723601866e-07	0.0065867352097023	1317	38688	1213	44	78	25	193	21
gbgene1612	6340.17964195403	-7.19676085716131	1.44939300423342	-4.96536193850865	6.85730613566835e-07	0.00890421201716536	1728	36264	1293	55	27	126	166	35
gbgene14244	1388.6757603112	-7.46992872469929	1.50946100421125	-4.94873912201701	7.46957832253322e-07	0.00969924745180939	387	7863	398	15	6	2	62	7
gbgene12391	4907.19935542419	-6.94365746693842	1.41292135863528	-4.9143976941825	8.90558134749512e-07	0.0115638973797224	2998	26674	1593	37	62	36	242	17
gbgene1641	1193.89460458439	-7.02571808039003	1.45352879254127	-4.83355962155151	1.3411308794124e-06	0.01741458446917	145	7018	81	47	29	6	14	27
gbgene14243	869.753817043982	-6.67774730614816	1.38287881647044	-4.82887381498255	1.37307378839846e-06	0.0178293631423541	494	4890	69	14	17	8	30	19
gbgene6572	524.547640191639	-6.59383343677437	1.36566075111757	-4.82830998209358	1.37696636876906e-06	0.0178799082984663	129	2976	133	8	7	9	16	15
gbgene1273	3568.95589087067	-6.43628784568667	1.35228803199934	-4.75955395106966	1.94021259478135e-06	0.0251936605432358	603	20670	269	317	125	55	77	66
gbgene17253	23053.2831611969	3.62704174595307	0.772916476156691	4.69266972285085	2.69662651887392e-06	0.0350156953475779	2962	1722	6366	3889	14915	92390	28106	19992
gbgene937	4520.42150222171	-6.77990525277894	1.4661314084146	-4.62435032348866	3.75774312598016e-06	0.0487942944908524	899	25338	1807	41	61	29	268	17
gbgene929	456.91875547851	-5.2652418153461	1.16969384844222	-4.50138454806637	6.75122334376466e-06	0.0876646351187841	238	2424	160	45	20	9	49	27
gbgene4357	3123.83394586173	-6.87091547609239	1.53746063247438	-4.46900254287121	7.85851965943021e-06	0.102042877777701	145	18553	89	145	30	14	135	75
gbgene11771	552.352821519221	-6.70000651334896	1.51782958536444	-4.41420208036084	1.01383224537922e-05	0.131646117062492	98	3196	88	7	1	12	26	8
gbgene17213	1488.04075392177	-5.04436186183078	1.2249864796651	-4.11789186702686	3.82354016157576e-05	0.496486689980613	1102	7958	113	165	62	46	110	182
gbgene76	170.432345751363	-0.000938611216382869	0.7738810096994	-0.00121286244864369	0.999032276015109	1	124	166	187	229	41	376	107	104
gbgene490	12.0014468272795	-4.86134182008936	2.05084072532554	-2.37041412336772	0.017768171084636	1	123	1	0	1	0	0	3	1
gbgene652	17.8244277561884	-6.925310020613	2.08479346474095	-3.32182066844377	0.000894321528314619	1	1	105	1	2	0	0	1	0
gbgene866	491.1600368839	0.888093593703971	0.770849120935462	1.15209782249765	0.24928087783508	1	594	220	426	288	192	1431	268	422
gbgene900	37.9870769344367	-0.63016811853019	1.03338338584608	-0.60981057675341	0.541987294335086	1	74	39	58	27	4	76	22	3
gbgene1323	73.7977045368819	-8.98445518790279	2.31059219482765	-3.88837771027481	0.000100916494879965	1	16	436	3	0	0	0	1	0
gbgene1331	347.110195928669	1.024240785543	0.917639207647187	1.11616938008691	0.264349638608667	1	147	179	415	207	99	1159	176	198
gbgene1527	82.8763306993455	-2.90044742505767	1.27839071030334	-2.26882705082349	0.0232788452792939	1	752	6	11	13	21	9	25	31
gbgene1693	385.523732201428	-5.91623499055077	1.75581763877744	-3.36950424684774	0.000753035307514284	1	75	2231	36	3	2	0	17	47
gbgene1703	155.729808321967	-0.265145733162381	0.886595425978486	-0.299060569672751	0.764893831062514	1	61	391	76	56	95	211	116	132
gbgene2093	18.0496501368669	-0.737812551617708	1.35473546425042	-0.544617433504586	0.586016661992028	1	15	38	17	15	3	39	2	0
gbgene2109	36.4552618934681	-4.34181440348079	1.39654113957632	-3.10897708663134	0.00187736277106524	1	12	200	2	4	4	3	2	5
gbgene2362	10.6284806733818	-6.90968091362748	2.84725513755807	-2.42678670502059	0.0152332087686401	1	8	60	0	0	0	0	0	0
gbgene2366	9.29251941696014	-4.44239293653171	1.530113141847	-2.9033100984737	0.00369240827072894	1	83	2	6	2	0	0	2	2
gbgene2499	71.3961872216657	0.305047546266014	1.21982872346763	0.250074080399459	0.802530060107599	1	24	150	27	17	17	213	19	16
gbgene2538	351.769567152514	0.770157500797296	1.47186001495436	0.523254584656392	0.600797100740497	1	56	61	58	1027	82	2	2093	110
gbgene2551	10.6812806823567	-6.17979592041185	3.11166616158293	-1.98600865244109	0.047032363176861	1	114	0	0	0	0	1	0	0
gbgene2586	35.8883624064671	-8.66707883599852	2.45335990317366	-3.53273843955255	0.00041127915988196	1	25	203	1	0	0	0	0	0
gbgene2626	992.400024332816	-0.0833405606853861	0.700628430051021	-0.118951154578921	0.905314053927951	1	940	1376	975	766	435	1909	605	630
gbgene2699	719.229893527209	-2.3221754883102	0.93390653638209	-2.48651808060601	0.0129000014349586	1	263	2916	527	300	142	273	276	318
gbgene2707	124.854716410487	-4.03312433613901	1.13683683973454	-3.54767209785424	0.000388651749267797	1	58	629	41	36	9	5	12	42
gbgene2855	9.54326578840505	-2.80676804697602	1.59156776443599	-1.76352406079968	0.0778121428725953	1	81	0	4	4	1	0	2	9
gbgene3091	291.440436014729	-1.05308628919679	1.6677974467879	-0.631423372919167	0.52776373752394	1	70	1097	60	21	613	13	7	5
gbgene3186	17.0511570283633	-3.52966778868592	1.80713522768757	-1.95318409746376	0.0507977847311011	1	2	0	127	3	1	6	3	0
gbgene3190	43.8566635005422	-3.38468584236417	1.50888810103535	-2.24316557340581	0.0248861394131543	1	23	219	0	17	18	2	5	4
gbgene3291	16.7961664943818	-6.20290031508307	1.9253711392849	-3.22166474219972	0.00127448169479229	1	2	1	6	148	0	0	0	2
