Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gbgene898	50282.2933422622	3.18665147135842	0.375224271502857	8.49281446843104	2.01692141069787e-17	2.71699483235111e-13
gbgene18399	4719.41064222729	5.47217063433783	0.660615318009431	8.30708810916151	9.80791214533117e-17	1.32122384509756e-12
gbgene7672	57572.1989547611	-4.53703656570831	0.952828618088298	-7.38306254249907	1.54689315293287e-13	2.08381976631587e-09
gbgene2487	98.9639623042805	-1.0610887648853	0.868372946758628	-7.24566816785309	4.30312483601809e-13	5.79673946659996e-09
gbgene15915	36591.4534399807	-4.50257993023928	0.953317548342053	-7.17849580463953	7.04825532781262e-13	9.49470475209638e-09
gbgene12445	113.188279546785	5.70681418621959	0.755119738440865	7.14340145788557	9.10492020932212e-13	1.22652380139778e-08
gbgene7693	9930.18076629295	-4.15942438458799	0.962058581812281	-7.11615518799379	1.10979333677348e-12	1.49500260396755e-08
gbgene5076	22887.5707104119	-4.39123126004569	0.956125157199462	-7.07467354005666	1.49800994356436e-12	2.01796919497555e-08
gbgene11933	578.212708297617	3.29132922913042	0.467074973040471	7.04310732303712	1.87999308334033e-12	2.53253868256776e-08
gbgene6642	1715.40172002955	-5.409020359717	0.777891011893332	-7.04129677638308	1.90458850623386e-12	2.56567117674763e-08
gbgene14984	9611.78155691307	3.84635273570928	0.556669521214173	6.91254303481052	4.76041515881756e-12	6.41275526044313e-08
gbgene9359	3488.31031792564	-4.29934203937644	0.958517320380827	-6.90569329433656	4.99588315021288e-12	6.72995419165178e-08
gbman.GBUE006904-PA.1	4521.06699076897	-3.89906686048176	0.967581730617008	-6.86134388337094	6.82157274495626e-12	9.18934064473057e-08
gbman.GBUE019031-PA.1	25985.5601994942	-4.61246739581809	0.948248187517502	-6.73844467015702	1.60090996845793e-11	2.15658581850968e-07
gbgene8521	171520.20629654	-4.4390250263826	0.953676341615391	-6.73235303541073	1.66940977285592e-11	2.24886190501422e-07
gbgene8756	625.478727064325	2.938540008439	0.440290562004196	6.67152783856597	2.53153921494342e-11	3.41023647645028e-07
gbman.GBUE020375-PA.2	2979.80361380016	-4.24504300219865	0.959302518380585	-6.63789855000029	3.18186726728582e-11	4.28629339576072e-07
gbman.GBUE006895-PA.1	9752.39420845384	-4.26810180645944	0.958265047333144	-6.60505911913166	3.97358740957489e-11	5.35281959943833e-07
gbgene17373	989.15254750533	3.10021754687451	0.469340812200707	6.60410840933401	3.99916806729393e-11	5.38727930345166e-07
gbman.GBUE006899-PA.1	2678.77347393189	-4.30454068752812	0.957462022196021	-6.56106174926031	5.34259897697104e-11	7.19701508187769e-07
gbman.GBUE006892-PA.1	2485.67398584306	-4.4328497949662	0.953777532754129	-6.56053640570101	5.36145627598396e-11	7.22241774937799e-07
gbgene12463	2793.49250334042	-3.95632603720941	0.603458695545571	-6.56017975212858	5.37429550790993e-11	7.23971347870547e-07
gbman.GBUE000895-PA.1	40030.026183281	-4.27431450486649	0.957725434957412	-6.5281620825554	6.65816254009989e-11	8.96921075776856e-07
gbgene5757	4799.01248709472	-4.28645835765164	0.957377857353375	-6.46864939839538	9.8882723843677e-11	1.33204917289817e-06
gbgene15147	1195.51695216803	-5.26183427099954	0.839836010293366	-6.45460263618975	1.08503221801012e-10	1.46164690088143e-06
gbgene1080	4547.86833304646	3.4371208602085	0.533060549930294	6.44917889461783	1.12457756558402e-10	1.51491843859823e-06
gbgene17286	9275.31856846214	-4.39332799347953	0.953702403462171	-6.41092539148743	1.44638971890492e-10	1.94843159033682e-06
gbgene7683	11488.3370675861	-4.76133321159605	0.939178913030499	-6.40053290457308	1.54835576743409e-10	2.08579005431046e-06
gbman.GBUE000894-PA.1	2748.88230572073	-3.92607566892564	0.966466714042808	-6.39465494711833	1.60910305113679e-10	2.16762272018637e-06
gbman.GBUE000897-PA.1	27775.380159884	-4.27002989412539	0.95724259911882	-6.3754142201513	1.82469097873909e-10	2.45804121745942e-06
gbgene16793	1293.86179812797	-5.26952112670586	0.881763526228677	-6.35747019671417	2.05103448429058e-10	2.76294855378784e-06
gbgene15534	2424.30991301506	-3.79891116022893	0.969078434262208	-6.31486702848771	2.70393866158575e-10	3.64247577102217e-06
gbgene17833	39735.1194667335	-4.27474437044745	0.956794319395897	-6.31315320435658	2.73406589919116e-10	3.68306017280041e-06
gbgene13284	119970.082299682	-4.29733084365025	0.95603299717129	-6.30486981194911	2.88436239807022e-10	3.88552458644039e-06
gbgene8288	3176.27781485978	2.84552222344891	0.451864029425239	6.29733664010119	3.0280320155573e-10	4.07906192815724e-06
gbgene5761	4995.97697678317	-3.98113668241046	0.964822502297469	-6.28699609511942	3.23667514565554e-10	4.36012508871258e-06
gbgene7681	13333.616318159	-3.20785352694519	0.97763137275811	-6.2281013282058	4.72121695902694e-10	6.35995136550519e-06
gbman.GBUE011199-PA.1	98611.5639476322	-4.94841669584155	0.922095029272339	-6.22345996341677	4.86308957780922e-10	6.5510679702668e-06
gbgene19283	4223.63553597455	3.74813948092909	0.605852133725138	6.19101948498889	5.97763185681199e-10	8.05246787431143e-06
gbgene15749	29425.6553951391	-4.70686522026587	0.937722921443334	-6.16658928968304	6.97786857249376e-10	9.39988675400635e-06
gbgene1837	31529.6346671785	-4.83477596858942	0.796111262312115	-6.16650028089573	6.98179567592882e-10	9.40517695504372e-06
gbgene7689	1180.38404318744	4.47764971550109	0.729898827016271	6.16105531061208	7.22617441107328e-10	9.73437954915682e-06
gbgene14858	18718.1803280725	-4.29230493339923	0.955270570582987	-6.14269211501299	8.11344548091703e-10	1.09296224073433e-05
gbgene7125	185701.321360334	-4.09593249402725	0.961217303525853	-6.13746021499301	8.38512096577911e-10	1.1295596453001e-05
gbman.GBUE000618-PA.1	2649.34365189011	-5.08751961398986	0.881486585294717	-6.13263031826529	8.64378500245208e-10	1.16440427768032e-05
gbman.GBUE019609-PA.1	40556.92065887	-4.4468709725407	0.948860078030906	-6.07571694905206	1.23434971869179e-09	1.66279250604971e-05
gbman.GBUE006901-PA.1	1841.97066289151	-4.50103128926755	0.947432819903301	-6.0680539594654	1.29469410651459e-09	1.74408243088581e-05
gbgene10081	1741.99429308985	-3.75689178258166	0.620010200475171	-6.06362265795494	1.33089196330571e-09	1.79284456376913e-05
gbgene9996	9559.77922395582	2.29236975706359	0.37989103065199	6.03428998349534	1.59663127252695e-09	2.15082198722105e-05
gbman.GBUE006900-PA.1	3268.92563648823	-3.85752023498667	0.967119078290914	-6.01149455831457	1.83820683563674e-09	2.47624842828625e-05
gbman.GBUE000889-PA.1	1035.21779837887	-4.32103766322577	0.95447629383018	-5.99653573943794	2.01571263800545e-09	2.71536649465715e-05
gbman.GBUE011554-PA.1	60068.6689929883	-4.39486560178617	0.949908643247834	-5.98011893066206	2.22974762966876e-09	3.00369303192679e-05
gbgene15166	96.3994564767054	-2.637593742861	0.441927924014126	-5.95468465411146	2.60573773322339e-09	3.51018930042523e-05
gbgene16792	396.932912514804	-4.85326435367067	0.929650371418475	-5.92848792170564	3.05736896937155e-09	4.11858173864041e-05
gbgene312	23652.3071327171	4.12791728435561	0.700754602837506	5.91032660252665	3.41430089648627e-09	4.59940473765665e-05
gbman.GBUE001944-PA.1	34425.1396263173	-4.25593104598754	0.95466391587725	-5.90829564184473	3.45665266874169e-09	4.65645681006193e-05
