GO.ID	Term	Annotated	Significant	Expected	Rank in classicFisher	classicFisher	elimFisher	weight01Fisher	parentchildFisher	weightFisher	leaFisher	Genes
GO:0004167	dopachrome isomerase activity	5	1	0.03	9	0.032	0.032	0.032	0.5556	0.032	0.032	gbgene19849,gbgene19850,gbgene2001,gbgene649,gbgene7492
GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068	gbgene10272,gbgene11546,gbgene12506,gbgene12778,gbgene1454,gbgene154,gbgene16634,gbgene17993,gbgene5116,gbgene7125,gbgene9261
GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012	gbgene12463,gbgene13170,gbgene13171,gbgene13793,gbgene1414,gbgene15227,gbgene15232,gbgene15376,gbgene15377,gbgene15379,gbgene15381,gbgene15382,gbgene16210,gbgene19436,gbgene2018,gbgene2020,gbgene312,gbgene5205,gbgene5207,gbgene5714,gbgene5717,gbgene6744,gbgene8215,gbgene8792,gbgene9399,gbgene9622
GO:0004601	peroxidase activity	43	1	0.27	30	0.241	0.241	0.241	0.6515	0.241	0.241	gbgene10503,gbgene10927,gbgene11613,gbgene1166,gbgene11932,gbgene11933,gbgene12560,gbgene14219,gbgene14406,gbgene15475,gbgene17093,gbgene20250,gbgene2538,gbgene2752,gbgene2753,gbgene3822,gbgene3829,gbgene4174,gbgene5127,gbgene8737,gbgene8738,gbgene8766,gbgene9838,gbman.GBUE000664-PA.1,gbman.GBUE002178-PA.1,gbman.GBUE002278-PA.1,gbman.GBUE002871-PA.1,gbman.GBUE004632-PA.1,gbman.GBUE005938-PA.1,gbman.GBUE006090-PA.1,gbman.GBUE006094-PA.1,gbman.GBUE006095-PA.1,gbman.GBUE006177-PA.1,gbman.GBUE007380-PA.1,gbman.GBUE008784-PA.1,gbman.GBUE009444-PA.1,gbman.GBUE009680-PA.1,gbman.GBUE009681-PA.1,gbman.GBUE017744-PA.1,gbman.GBUE017902-PA.1,gbman.GBUE020991-PA.1,gbman.GBUE021105-PA.1,gbman.GBUE021156-PA.1
GO:0004768	stearoyl-CoA 9-desaturase activity	10	1	0.06	13	0.062	0.062	0.062	1.0000	0.062	0.062	gbgene13585,gbgene1586,gbgene1587,gbgene1588,gbgene1589,gbgene844,gbgene882,gbgene883,gbgene884,gbgene886
GO:0004867	serine-type endopeptidase inhibitor activity	26	1	0.17	23	0.154	0.154	0.154	0.6047	0.154	0.154	gbgene10248,gbgene115,gbgene11771,gbgene11772,gbgene1210,gbgene12247,gbgene13541,gbgene14919,gbgene15384,gbgene15584,gbgene17797,gbgene17799,gbgene19560,gbgene19777,gbgene20306,gbgene2440,gbgene2442,gbgene4927,gbgene5022,gbgene5138,gbgene5459,gbgene7337,gbgene7444,gbgene7536,gbgene8288,gbgene9212
GO:0005201	extracellular matrix structural constituent	60	2	0.38	12	0.056	0.056	0.056	0.9238	0.056	0.056	gbgene10268,gbgene10294,gbgene1107,gbgene11081,gbgene12046,gbgene12205,gbgene12234,gbgene12259,gbgene12351,gbgene12786,gbgene13193,gbgene132,gbgene13522,gbgene13525,gbgene13541,gbgene14479,gbgene14566,gbgene1457,gbgene14591,gbgene14658,gbgene14932,gbgene15409,gbgene16391,gbgene16748,gbgene16861,gbgene16912,gbgene17797,gbgene17994,gbgene18503,gbgene18516,gbgene18635,gbgene19375,gbgene19663,gbgene2828,gbgene3467,gbgene4310,gbgene4620,gbgene4739,gbgene4927,gbgene5138,gbgene5210,gbgene5644,gbgene5995,gbgene6698,gbgene7073,gbgene7473,gbgene7474,gbgene814,gbgene8930,gbgene9014,gbgene9314,gbgene9319,gbgene9320,gbgene9322,gbgene9324,gbgene9859,gbman.GBUE017915-PA.1,gbman.GBUE017916-PA.1,gbman.GBUE017917-PA.1,gbman.GBUE017918-PA.1
GO:0005214	structural constituent of chitin-based cuticle	171	36	1.09	1	< 1e-30	4.7e-13	4.7e-13	1.0000	< 1e-30	< 1e-30	gbgene10227,gbgene11480,gbgene11481,gbgene11482,gbgene12423,gbgene13284,gbgene14564,gbgene14565,gbgene16565,gbgene16626,gbgene170,gbgene17253,gbgene17286,gbgene2296,gbgene2297,gbgene2740,gbgene4555,gbgene4712,gbgene5070,gbgene5074,gbgene5076,gbgene5077,gbgene5754,gbgene5757,gbgene5758,gbgene7111,gbgene8172,gbgene8521,gbgene9359,gbgene9508,gbgene9509,gbgene9510,gbgene9512,gbgene9513,gbman.GBUE000609-PA.1,gbman.GBUE000612-PA.1,gbman.GBUE000613-PA.1,gbman.GBUE000614-PA.1,gbman.GBUE000615-PA.1,gbman.GBUE000616-PA.1,gbman.GBUE000617-PA.1,gbman.GBUE000618-PA.1,gbman.GBUE000824-PA.1,gbman.GBUE000825-PA.1,gbman.GBUE000826-PA.1,gbman.GBUE000838-PA.1,gbman.GBUE000885-PA.1,gbman.GBUE000886-PA.1,gbman.GBUE000887-PA.1,gbman.GBUE000889-PA.1,gbman.GBUE000890-PA.1,gbman.GBUE000891-PA.1,gbman.GBUE000892-PA.1,gbman.GBUE000893-PA.1,gbman.GBUE000894-PA.1,gbman.GBUE000895-PA.1,gbman.GBUE000896-PA.1,gbman.GBUE000897-PA.1,gbman.GBUE000957-PA.1,gbman.GBUE001185-PA.1,gbman.GBUE001467-PA.1,gbman.GBUE001802-PA.1,gbman.GBUE001804-PA.1,gbman.GBUE001806-PA.1,gbman.GBUE001944-PA.1,gbman.GBUE002393-PA.1,gbman.GBUE002394-PA.1,gbman.GBUE003508-PA.1,gbman.GBUE003510-PA.1,gbman.GBUE003726-PA.1,gbman.GBUE003969-PA.1,gbman.GBUE004094-PA.1,gbman.GBUE004236-PA.1,gbman.GBUE005603-PA.1,gbman.GBUE005751-PA.1,gbman.GBUE005752-PA.1,gbman.GBUE005903-PA.1,gbman.GBUE006394-PA.1,gbman.GBUE006625-PA.1,gbman.GBUE006892-PA.1,gbman.GBUE006895-PA.1,gbman.GBUE006896-PA.1,gbman.GBUE006897-PA.1,gbman.GBUE006898-PA.1,gbman.GBUE006899-PA.1,gbman.GBUE006900-PA.1,gbman.GBUE006901-PA.1,gbman.GBUE006904-PA.1,gbman.GBUE006964-PA.1,gbman.GBUE007015-PA.1,gbman.GBUE007184-PA.1,gbman.GBUE007232-PA.1,gbman.GBUE007376-PA.1,gbman.GBUE008531-PA.1,gbman.GBUE008532-PA.1,gbman.GBUE008533-PA.1,gbman.GBUE008534-PA.1,gbman.GBUE008535-PA.1,gbman.GBUE008536-PA.1,gbman.GBUE008537-PA.1,gbman.GBUE008538-PA.1,gbman.GBUE008539-PA.1,gbman.GBUE008540-PA.1,gbman.GBUE008543-PA.1,gbman.GBUE008544-PA.1,gbman.GBUE008545-PA.1,gbman.GBUE008546-PA.1,gbman.GBUE008608-PA.1,gbman.GBUE008610-PA.1,gbman.GBUE008953-PA.1,gbman.GBUE009314-PA.1,gbman.GBUE009315-PA.1,gbman.GBUE009686-PA.1,gbman.GBUE009687-PA.1,gbman.GBUE009688-PA.1,gbman.GBUE009755-PA.1,gbman.GBUE009757-PA.1,gbman.GBUE010356-PA.1,gbman.GBUE011199-PA.1,gbman.GBUE011215-PA.1,gbman.GBUE011216-PA.1,gbman.GBUE011468-PA.1,gbman.GBUE011542-PA.1,gbman.GBUE011554-PA.1,gbman.GBUE011838-PA.1,gbman.GBUE011839-PA.1,gbman.GBUE012454-PA.1,gbman.GBUE012636-PA.1,gbman.GBUE013023-PA.1,gbman.GBUE013024-PA.1,gbman.GBUE013026-PA.1,gbman.GBUE013027-PA.1,gbman.GBUE013028-PA.1,gbman.GBUE013030-PA.1,gbman.GBUE013212-PA.1,gbman.GBUE013715-PA.1,gbman.GBUE014196-PA.1,gbman.GBUE014232-PA.1,gbman.GBUE014859-PA.1,gbman.GBUE015406-PA.1,gbman.GBUE015407-PA.1,gbman.GBUE015549-PA.1,gbman.GBUE015719-PA.1,gbman.GBUE015859-PA.1,gbman.GBUE015881-PA.1,gbman.GBUE015884-PA.1,gbman.GBUE016502-PA.1,gbman.GBUE016614-PA.1,gbman.GBUE016720-PA.1,gbman.GBUE017076-PA.1,gbman.GBUE017847-PA.1,gbman.GBUE017848-PA.1,gbman.GBUE017854-PA.1,gbman.GBUE017855-PA.1,gbman.GBUE017915-PA.1,gbman.GBUE017916-PA.1,gbman.GBUE017917-PA.1,gbman.GBUE017918-PA.1,gbman.GBUE018700-PA.1,gbman.GBUE019031-PA.1,gbman.GBUE019033-PA.1,gbman.GBUE019515-PA.1,gbman.GBUE019609-PA.1,gbman.GBUE020218-PA.1,gbman.GBUE020314-PA.1,gbman.GBUE020355-PA.1,gbman.GBUE020375-PA.1,gbman.GBUE020375-PA.2,gbman.GBUE020397-PA.1,gbman.GBUE020645-PA.1,gbman.GBUE021065-PA.1
GO:0008010	structural constituent of chitin-based larval cuticle	133	28	0.85	3	< 1e-30	< 1e-30	< 1e-30	0.5981	1.000	< 1e-30	gbgene10227,gbgene11480,gbgene11481,gbgene11482,gbgene16565,gbgene17253,gbgene17286,gbgene7111,gbman.GBUE000609-PA.1,gbman.GBUE000612-PA.1,gbman.GBUE000613-PA.1,gbman.GBUE000614-PA.1,gbman.GBUE000615-PA.1,gbman.GBUE000616-PA.1,gbman.GBUE000617-PA.1,gbman.GBUE000618-PA.1,gbman.GBUE000885-PA.1,gbman.GBUE000886-PA.1,gbman.GBUE000887-PA.1,gbman.GBUE000889-PA.1,gbman.GBUE000890-PA.1,gbman.GBUE000891-PA.1,gbman.GBUE000892-PA.1,gbman.GBUE000893-PA.1,gbman.GBUE000894-PA.1,gbman.GBUE000895-PA.1,gbman.GBUE000896-PA.1,gbman.GBUE000897-PA.1,gbman.GBUE000957-PA.1,gbman.GBUE001185-PA.1,gbman.GBUE001802-PA.1,gbman.GBUE001804-PA.1,gbman.GBUE001806-PA.1,gbman.GBUE001944-PA.1,gbman.GBUE002393-PA.1,gbman.GBUE002394-PA.1,gbman.GBUE003508-PA.1,gbman.GBUE003510-PA.1,gbman.GBUE003726-PA.1,gbman.GBUE003969-PA.1,gbman.GBUE004094-PA.1,gbman.GBUE005603-PA.1,gbman.GBUE005751-PA.1,gbman.GBUE005752-PA.1,gbman.GBUE005903-PA.1,gbman.GBUE006394-PA.1,gbman.GBUE006625-PA.1,gbman.GBUE006892-PA.1,gbman.GBUE006895-PA.1,gbman.GBUE006896-PA.1,gbman.GBUE006897-PA.1,gbman.GBUE006898-PA.1,gbman.GBUE006899-PA.1,gbman.GBUE006900-PA.1,gbman.GBUE006901-PA.1,gbman.GBUE006904-PA.1,gbman.GBUE006964-PA.1,gbman.GBUE007015-PA.1,gbman.GBUE007184-PA.1,gbman.GBUE007232-PA.1,gbman.GBUE007376-PA.1,gbman.GBUE008531-PA.1,gbman.GBUE008532-PA.1,gbman.GBUE008533-PA.1,gbman.GBUE008534-PA.1,gbman.GBUE008535-PA.1,gbman.GBUE008536-PA.1,gbman.GBUE008537-PA.1,gbman.GBUE008538-PA.1,gbman.GBUE008539-PA.1,gbman.GBUE008540-PA.1,gbman.GBUE008543-PA.1,gbman.GBUE008544-PA.1,gbman.GBUE008545-PA.1,gbman.GBUE008546-PA.1,gbman.GBUE008953-PA.1,gbman.GBUE009314-PA.1,gbman.GBUE009315-PA.1,gbman.GBUE009686-PA.1,gbman.GBUE009687-PA.1,gbman.GBUE009688-PA.1,gbman.GBUE009755-PA.1,gbman.GBUE009757-PA.1,gbman.GBUE010356-PA.1,gbman.GBUE011199-PA.1,gbman.GBUE011215-PA.1,gbman.GBUE011216-PA.1,gbman.GBUE011468-PA.1,gbman.GBUE011542-PA.1,gbman.GBUE011554-PA.1,gbman.GBUE011838-PA.1,gbman.GBUE011839-PA.1,gbman.GBUE012454-PA.1,gbman.GBUE012636-PA.1,gbman.GBUE013023-PA.1,gbman.GBUE013024-PA.1,gbman.GBUE013026-PA.1,gbman.GBUE013027-PA.1,gbman.GBUE013028-PA.1,gbman.GBUE013030-PA.1,gbman.GBUE013212-PA.1,gbman.GBUE013715-PA.1,gbman.GBUE014196-PA.1,gbman.GBUE014232-PA.1,gbman.GBUE015406-PA.1,gbman.GBUE015407-PA.1,gbman.GBUE015549-PA.1,gbman.GBUE015859-PA.1,gbman.GBUE015881-PA.1,gbman.GBUE015884-PA.1,gbman.GBUE016502-PA.1,gbman.GBUE016614-PA.1,gbman.GBUE016720-PA.1,gbman.GBUE017847-PA.1,gbman.GBUE017848-PA.1,gbman.GBUE017854-PA.1,gbman.GBUE017855-PA.1,gbman.GBUE017915-PA.1,gbman.GBUE017916-PA.1,gbman.GBUE017917-PA.1,gbman.GBUE017918-PA.1,gbman.GBUE018700-PA.1,gbman.GBUE019031-PA.1,gbman.GBUE019033-PA.1,gbman.GBUE019515-PA.1,gbman.GBUE019609-PA.1,gbman.GBUE020218-PA.1,gbman.GBUE020314-PA.1,gbman.GBUE020355-PA.1,gbman.GBUE020375-PA.1,gbman.GBUE020375-PA.2,gbman.GBUE020645-PA.1,gbman.GBUE021065-PA.1
GO:0008061	chitin binding	106	11	0.68	5	4.9e-11	4.9e-11	4.9e-11	1.1e-11	4.9e-11	4.9e-11	gbgene10268,gbgene1107,gbgene11654,gbgene12139,gbgene12383,gbgene12463,gbgene12830,gbgene13170,gbgene13171,gbgene13284,gbgene13507,gbgene13630,gbgene13632,gbgene13793,gbgene13855,gbgene1414,gbgene14523,gbgene14564,gbgene14565,gbgene15227,gbgene15232,gbgene15376,gbgene15377,gbgene15379,gbgene15381,gbgene15382,gbgene16210,gbgene16391,gbgene16473,gbgene16477,gbgene170,gbgene17121,gbgene17413,gbgene18450,gbgene18454,gbgene18516,gbgene18573,gbgene19009,gbgene19079,gbgene19375,gbgene19436,gbgene19663,gbgene19908,gbgene19909,gbgene19973,gbgene2018,gbgene2020,gbgene2063,gbgene2296,gbgene2297,gbgene312,gbgene3467,gbgene3583,gbgene3916,gbgene3921,gbgene4246,gbgene4349,gbgene4712,gbgene4995,gbgene5070,gbgene5074,gbgene5076,gbgene5077,gbgene5205,gbgene5207,gbgene5708,gbgene5714,gbgene5717,gbgene5754,gbgene5757,gbgene5758,gbgene6353,gbgene6744,gbgene7377,gbgene7383,gbgene8215,gbgene8521,gbgene8792,gbgene9359,gbgene9399,gbgene9508,gbgene9509,gbgene9510,gbgene9512,gbgene9513,gbgene9622,gbman.GBUE000505-PA.1,gbman.GBUE002071-PA.1,gbman.GBUE002072-PA.1,gbman.GBUE002801-PA.1,gbman.GBUE003286-PA.1,gbman.GBUE004453-PA.1,gbman.GBUE004965-PA.1,gbman.GBUE005603-PA.1,gbman.GBUE006795-PA.1,gbman.GBUE007167-PA.1,gbman.GBUE008606-PA.1,gbman.GBUE008607-PA.1,gbman.GBUE008608-PA.1,gbman.GBUE008610-PA.1,gbman.GBUE010512-PA.1,gbman.GBUE017915-PA.1,gbman.GBUE017916-PA.1,gbman.GBUE017917-PA.1,gbman.GBUE017918-PA.1,gbman.GBUE019891-PA.1
