Genes	GO.ID_BP	Term_BP	Annotated_BP	Significant_BP	Expected_BP	Rank in classicFisher_BP	classicFisher_BP	elimFisher_BP	weight01Fisher_BP	parentchildFisher_BP	weightFisher_BP	leaFisher_BP
gbgene15120	GO:0003009	skeletal muscle contraction	5	1	0.03	17	0.031	0.031	0.03073	0.3846	0.031	0.031
gbgene15121	GO:0003009	skeletal muscle contraction	5	1	0.03	17	0.031	0.031	0.03073	0.3846	0.031	0.031
gbgene5691	GO:0003009	skeletal muscle contraction	5	1	0.03	17	0.031	0.031	0.03073	0.3846	0.031	0.031
gbgene7971	GO:0003009	skeletal muscle contraction	5	1	0.03	17	0.031	0.031	0.03073	0.3846	0.031	0.031
gbgene8691	GO:0003009	skeletal muscle contraction	5	1	0.03	17	0.031	0.031	0.03073	0.3846	0.031	0.031
gbgene12463	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene13170	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene13171	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene13793	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene1414	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15227	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15232	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15376	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15377	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15379	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15381	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene15382	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene16210	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene18450	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene18454	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene19009	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene19436	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene2018	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene2020	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene312	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene5205	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene5207	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene5714	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene5717	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene6744	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene8215	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene8792	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene9399	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene9622	GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014
gbgene13585	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene1586	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene1587	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene1588	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene1589	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene844	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene882	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene883	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene884	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene886	GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061
gbgene1586	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene1587	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
gbgene1588	GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072
