Genes	GO.ID_CC	Term_CC	Annotated_CC	Significant_CC	Expected_CC	Rank in classicFisher_CC	classicFisher_CC	elimFisher_CC	weight01Fisher_CC	parentchildFisher_CC	weightFisher_CC	leaFisher_CC
gbgene10069	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10129	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10174	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10210	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10248	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10250	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10268	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10272	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10279	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10363	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10456	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10503	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1080	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10927	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10948	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene10993	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1107	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1128	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11302	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11423	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11444	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11507	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11508	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11546	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11567	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11592	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11654	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene1166	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11760	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11771	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11772	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
gbgene11891	GO:0005576	extracellular region	719	18	4.47	5	2e-07	0.0098	0.0098	2.4e-07	2e-07	2e-07
