Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	id	parent	flybase	flybase_revhits	flybase_name	gbue11	gbue11_revhits	orthodb	orthodb_revhits	ontology_term	FlyBase	FlyBase_2	FlyBase_3	FlyBase_4	FlyBase_Annotation_IDs	FlyBase_Annotation_IDs_2	FlyBase_Annotation_IDs_3	FlyBase_Annotation_IDs_4	FlyMine	FlyMine_2	GB_protein	GB_protein_2	GB_protein_3	GB_protein_4	GB_protein_5	GB_protein_6	GI	REFSEQ	REFSEQ_2	REFSEQ_3	UniProt/Swiss-Prot	UniProt/Swiss-Prot_2	UniProt/TrEMBL	UniProt/TrEMBL_2	modMine	modMine_2
gbgene898	50282.2933422622	3.18665147135842	0.375224271502857	8.49281446843104	2.01692141069787e-17	2.71699483235111e-13	gbgene898.t1	gbgene898	FBgn0053126	gbgene898.t1,gbgene11898.t1,gbgene13186.t1,gbgene17088.t1,gbgene17088.t2	NLaz-PC	GBUE013120-PA	NA	56086_0_00333f	NA	GO:0000302,GO:0005615,GO:0005737,GO:0006629,GO:0006979,GO:0008340,GO:0031409,GO:0032504,GO:0033500,GO:0070328	FBpp0310390	NA	NA	NA	CG33126-PC	NA	NA	NA	NA	NA	AHN54075	NA	NA	NA	NA	NA	NA	NP_001285560	NA	NA	NA	NA	Q8SXR1	NA	NA	NA
gbgene18399	4719.41064222729	5.47217063433783	0.660615318009431	8.30708810916151	9.80791214533117e-17	1.32122384509756e-12	gbgene18399.t1	gbgene18399	FBgn0000042	gbgene1363.t1,gbgene7972.t1,gbgene9345.t1,gbgene18399.t1	Act5C-PE	GBUE004880-PA	gbgene1363.t1,gbgene6302.t1,gbgene7972.t1,gbgene9640.t1,gbgene18399.t1	108931_0_0005ec	NA	GO:0000281,GO:0006338,GO:0007291,GO:0031011,GO:0032507,GO:0035060,GO:0035148	FBpp0311818	NA	NA	NA	CG4027-PE	NA	NA	NA	NA	NA	AHN59386	NA	NA	NA	NA	NA	NA	NP_001284915	NA	NA	P10987	NA	NA	NA	NA	NA
gbgene7672	57572.1989547611	-4.53703656570831	0.952828618088298	-7.38306254249907	1.54689315293287e-13	2.08381976631587e-09	gbgene7672.t1	gbgene7672	NA	NA	NA	GBUE001589-PA	NA	56086_0_000634	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene2487	98.9639623042805	-1.0610887648853	0.868372946758628	-7.24566816785309	4.30312483601809e-13	5.79673946659996e-09	gbgene2487.t1	gbgene2487	FBgn0030592	gbgene2487.t1,gbgene14616.t1,gbgene14625.t2	CG9514-PA	GBUE009036-PA	NA	56086_0_00234b	NA	GO:0016491,GO:0016614,GO:0045455,GO:0050660	FBpp0073797	NA	NA	NA	CG9514-PA	NA	NA	NA	FBpp0073797	NA	AAF48400.1	AAF48400	NA	NA	NA	NA	NA	NP_572981	NA	NA	NA	NA	Q9VY06	NA	FBpp0073797	NA
gbgene15915	36591.4534399807	-4.50257993023928	0.953317548342053	-7.17849580463953	7.04825532781262e-13	9.49470475209638e-09	gbgene15915.t1	gbgene15915	NA	NA	NA	GBUE015209-PA	NA	56086_0_003b68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene12445	113.188279546785	5.70681418621959	0.755119738440865	7.14340145788557	9.10492020932212e-13	1.22652380139778e-08	gbgene12445.t1	gbgene12445	NA	NA	NA	GBUE013854-PA	NA	7029_0_0085c3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18076629295	-4.15942438458799	0.962058581812281	-7.11615518799379	1.10979333677348e-12	1.49500260396755e-08	gbgene7693.t1	gbgene7693	NA	NA	NA	GBUE008373-PA	gbgene7682.t1,gbgene7693.t1,gbgene7693.t2	56086_0_0020b4	gbgene7682.t1,gbgene7693.t1,gbgene7693.t2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene7693	9930.18076629295	-4.15942438458799	0.962058581812281	-7.11615518799379	1.10979333677348e-12	1.49500260396755e-08	gbgene7693.t2	gbgene7693	NA	NA	NA	GBUE008373-PA	gbgene7682.t1,gbgene7693.t1,gbgene7693.t2	56086_0_0020b4	gbgene7682.t1,gbgene7693.t1,gbgene7693.t2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene5076	22887.5707104119	-4.39123126004569	0.956125157199462	-7.07467354005666	1.49800994356436e-12	2.01796919497555e-08	gbgene5076.t1	gbgene5076	FBgn0050101	gbgene170.t1,gbgene2296.t1,gbgene5070.t1,gbgene5074.t1,gbgene5076.t1,gbgene5077.t1,gbgene5754.t1,gbgene9508.t1,gbgene9509.t1,gbgene9510.t1,gbgene9513.t1,gbgene13284.t1,gbgene14564.t1	Vajk4-PA	GBUE004642-PA	NA	56086_0_001221	NA	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0086118	NA	NA	NA	CG30101-PA	NA	NA	NA	FBpp0086118	NA	AAF57876.1	AAF57876	NA	NA	NA	NA	NA	NP_611205	NA	NA	NA	NA	Q7K0W4	NA	FBpp0086118	NA
gbgene11933	578.212708297617	3.29132922913042	0.467074973040471	7.04310732303712	1.87999308334033e-12	2.53253868256776e-08	gbgene11933.t1	gbgene11933	FBgn0000261	gbgene9838.t1,gbgene9840.t1,gbgene11932.t1,gbgene11933.t1	Cat-PA	GBUE017532-PA	NA	56086_0_00447b	NA	GO:0003007,GO:0004096,GO:0005737,GO:0005739,GO:0005777,GO:0007568,GO:0008340,GO:0020037,GO:0034976,GO:0035206,GO:0036335,GO:0038001,GO:0042542,GO:0042744,GO:0048167,GO:0072593	FBpp0074825	NA	NA	NA	CG6871-PA	NA	NA	NA	FBpp0074825	NA	AAF49228.1	AAF49228	NA	NA	NA	NA	NA	NP_536731	NA	NA	P17336	NA	NA	NA	FBpp0074825	NA
gbgene6642	1715.40172002955	-5.409020359717	0.777891011893332	-7.04129677638308	1.90458850623386e-12	2.56567117674763e-08	gbgene6642.t1	gbgene6642	FBgn0029690	gbgene6642.t1,gbgene7265.t1,gbgene7307.t1,gbgene7308.t1,gbgene13488.t1,gbgene13489.t1,gbgene13785.t1,gbgene15082.t1,gbgene15480.t1,gbgene17332.t2,gbgene17846.t2,gbgene20092.t1,gbgene20094.t1	CG6414-PB	GBUE004118-PA	gbgene6232.t2,gbgene6642.t1,gbgene7265.t1,gbgene19628.t1	56086_0_001015	NA	GO:0052689	FBpp0401489	NA	NA	NA	CG6414-PB	NA	NA	NA	NA	NA	ALI51142	NA	NA	NA	NA	NA	NA	NP_001303565	NA	NA	NA	NA	Q9W4N5	NA	NA	NA
gbgene14984	9611.78155691307	3.84635273570928	0.556669521214173	6.91254303481052	4.76041515881756e-12	6.41275526044313e-08	gbgene14984.t1	gbgene14984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gbgene9359	3488.31031792564	-4.29934203937644	0.958517320380827	-6.90569329433656	4.99588315021288e-12	6.72995419165178e-08	gbgene9359.t1	gbgene9359	FBgn0032538	gbgene4712.t1,gbgene5757.t1,gbgene5758.t1,gbgene8521.t1,gbgene9359.t1,gbgene9512.t1,gbgene14565.t1	Vajk2-PA	GBUE017122-PA	NA	56086_0_0042e1	NA	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0080135	NA	NA	NA	CG16885-PA	NA	NA	NA	FBpp0080135	NA	AAF53358.2	AAF53358	NA	NA	NA	NA	NA	NP_609689	NA	NA	NA	NA	Q8SZM2	NA	FBpp0080135	NA
gbman.GBUE006904-PA.1	4521.06699076897	-3.89906686048176	0.967581730617008	-6.86134388337094	6.82157274495626e-12	9.18934064473057e-08	gbman.GBUE006904-PA.1.t1	gbman.GBUE006904-PA.1	FBgn0036878	gbgene9382.t1,gbgene15499.t1,gbgene15500.t1,gbgene15502.t1,gbgene15503.t1,gbgene15504.t1,gbgene15505.t1,gbgene15506.t1,gbgene15509.t1,gbgene15509.t2	Cpr76Ba-PA	GBUE006904-PA	gbgene15509.t1,gbgene15509.t2	56086_0_001af7	gbgene15509.t1,gbgene15509.t2	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0074745	NA	NA	NA	CG9283-PA	NA	NA	NA	FBpp0074745	NA	AAF49153.1	AAF49153	NA	NA	NA	NA	NA	NP_649120	NA	NA	NA	NA	Q9VW02	NA	FBpp0074745	NA
gbman.GBUE019031-PA.1	25985.5601994942	-4.61246739581809	0.948248187517502	-6.73844467015702	1.60090996845793e-11	2.15658581850968e-07	gbman.GBUE019031-PA.1.t1	gbman.GBUE019031-PA.1	FBgn0250833	gbgene3941.t1,gbgene3941.t2,gbgene4699.t1,gbgene5075.t1,gbgene11355.t1,gbgene11357.t1,gbgene11360.t1,gbgene11360.t2,gbgene14852.t1,gbgene15501.t1,gbgene15687.t1	CG34461-PB	GBUE019031-PA	NA	56086_0_004a56	NA	GO:0008010,GO:0031012,GO:0040003,GO:0062129	FBpp0305270	NA	NA	NA	CG34461-PB	NA	NA	NA	NA	NA	AGB94271	NA	NA	NA	NA	NA	NA	NP_001261576	NA	NA	NA	NA	Q5U126	NA	NA	NA
gbgene8521	171520.20629654	-4.4390250263826	0.953676341615391	-6.73235303541073	1.66940977285592e-11	2.24886190501422e-07	gbgene8521.t1	gbgene8521	FBgn0032538	gbgene4712.t1,gbgene5757.t1,gbgene5758.t1,gbgene8521.t1,gbgene9359.t1,gbgene9512.t1,gbgene14565.t1	Vajk2-PA	GBUE003011-PA	NA	56086_0_000bc2	NA	GO:0005214,GO:0008061,GO:0040003,GO:0062129	FBpp0080135	NA	NA	NA	CG16885-PA	NA	NA	NA	FBpp0080135	NA	AAF53358.2	AAF53358	NA	NA	NA	NA	NA	NP_609689	NA	NA	NA	NA	Q8SZM2	NA	FBpp0080135	NA
gbgene8756	625.478727064325	2.938540008439	0.440290562004196	6.67152783856597	2.53153921494342e-11	3.41023647645028e-07	gbgene8756.t1	gbgene8756	FBgn0030841	gbgene8756.t1,gbgene13004.t1	CG8568-PA	GBUE000497-PA	NA	56086_0_0001f0	NA	GO:0003674,GO:0005575,GO:0008150	FBpp0074210	NA	NA	NA	CG8568-PA	NA	NA	NA	FBpp0074210	NA	AAF48731.1	AAF48731	NA	NA	NA	NA	NA	NP_573217	NA	NA	NA	NA	Q9VX49	NA	FBpp0074210	NA
