Genes	GO.ID_MF	Term_MF	Annotated_MF	Significant_MF	Expected_MF	Rank in classicFisher_MF	classicFisher_MF	elimFisher_MF	weight01Fisher_MF	parentchildFisher_MF	weightFisher_MF	leaFisher_MF
gbgene19849	GO:0004167	dopachrome isomerase activity	5	1	0.03	9	0.032	0.032	0.032	0.5556	0.032	0.032
gbgene19850	GO:0004167	dopachrome isomerase activity	5	1	0.03	9	0.032	0.032	0.032	0.5556	0.032	0.032
gbgene2001	GO:0004167	dopachrome isomerase activity	5	1	0.03	9	0.032	0.032	0.032	0.5556	0.032	0.032
gbgene649	GO:0004167	dopachrome isomerase activity	5	1	0.03	9	0.032	0.032	0.032	0.5556	0.032	0.032
gbgene7492	GO:0004167	dopachrome isomerase activity	5	1	0.03	9	0.032	0.032	0.032	0.5556	0.032	0.032
gbgene10272	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene11546	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene12506	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene12778	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene1454	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene154	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene16634	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene17993	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene5116	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene7125	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene9261	GO:0004181	metallocarboxypeptidase activity	11	1	0.07	15	0.068	0.068	0.068	0.1447	0.068	0.068
gbgene12463	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene13170	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene13171	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene13793	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene1414	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15227	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15232	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15376	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15377	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15379	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15381	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene15382	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
gbgene16210	GO:0004568	chitinase activity	26	2	0.17	8	0.012	0.012	0.012	0.0776	0.012	0.012
