GO.ID	Term	Annotated	Significant	Expected	Rank in classicFisher	classicFisher	elimFisher	weight01Fisher	parentchildFisher	weightFisher	leaFisher	Genes
GO:0003009	skeletal muscle contraction	5	1	0.03	17	0.031	0.031	0.03073	0.3846	0.031	0.031	gbgene15120,gbgene15121,gbgene5691,gbgene7971,gbgene8691
GO:0006032	chitin catabolic process	29	2	0.18	9	0.014	0.014	0.01389	0.3923	0.014	0.014	gbgene12463,gbgene13170,gbgene13171,gbgene13793,gbgene1414,gbgene15227,gbgene15232,gbgene15376,gbgene15377,gbgene15379,gbgene15381,gbgene15382,gbgene16210,gbgene18450,gbgene18454,gbgene19009,gbgene19436,gbgene2018,gbgene2020,gbgene312,gbgene5205,gbgene5207,gbgene5714,gbgene5717,gbgene6744,gbgene8215,gbgene8792,gbgene9399,gbgene9622
GO:0006636	unsaturated fatty acid biosynthetic process	10	1	0.06	31	0.061	0.061	0.06053	0.0990	0.061	0.061	gbgene13585,gbgene1586,gbgene1587,gbgene1588,gbgene1589,gbgene844,gbgene882,gbgene883,gbgene884,gbgene886
GO:0006723	cuticle hydrocarbon biosynthetic process	12	1	0.07	35	0.072	0.072	0.07220	0.7388	0.072	0.072	gbgene1586,gbgene1587,gbgene1588,gbgene1589,gbgene16505,gbgene18473,gbgene18476,gbgene5353,gbgene8565,gbgene883,gbgene9403,gbman.GBUE016248-PA.1
GO:0007291	sperm individualization	64	2	0.4	30	0.060	0.060	0.06006	0.0037	0.060	0.060	gbgene10073,gbgene10122,gbgene10531,gbgene11695,gbgene12088,gbgene12104,gbgene12105,gbgene12107,gbgene12523,gbgene1256,gbgene13006,gbgene13228,gbgene1328,gbgene1329,gbgene1330,gbgene1363,gbgene14375,gbgene14425,gbgene1465,gbgene1621,gbgene16486,gbgene16644,gbgene1721,gbgene17575,gbgene17611,gbgene17946,gbgene18399,gbgene18905,gbgene19110,gbgene19187,gbgene20197,gbgene264,gbgene29,gbgene3074,gbgene3440,gbgene3961,gbgene4355,gbgene4628,gbgene4633,gbgene5009,gbgene5776,gbgene5796,gbgene593,gbgene6261,gbgene6267,gbgene6482,gbgene6561,gbgene7104,gbgene7106,gbgene7864,gbgene849,gbgene8559,gbgene8634,gbgene9345,gbgene9821,gbgene9996,gbgene9998,gbgene9999,gbman.GBUE004880-PA.1,gbman.GBUE004915-PA.1,gbman.GBUE006282-PA.1,gbman.GBUE006773-PA.1,gbman.GBUE021109-PA.1,gbman.GBUE021385-PA.1
GO:0009608	response to symbiont	12	1	0.07	36	0.072	0.072	0.07220	0.0231	0.072	0.072	gbgene10705,gbgene5036,gbgene524,gbgene5917,gbgene6261,gbgene9996,gbgene9998,gbgene9999,gbman.GBUE001901-PA.1,gbman.GBUE006285-PA.1,gbman.GBUE006286-PA.1,gbman.GBUE021006-PA.1
GO:0014866	skeletal myofibril assembly	8	1	0.05	26	0.049	0.049	0.04872	0.0941	0.049	0.049	gbgene11537,gbgene15469,gbgene16142,gbgene16143,gbgene2335,gbgene2597,gbgene5691,gbman.GBUE009014-PA.1
GO:0016042	lipid catabolic process	122	3	0.76	22	0.040	0.040	0.04019	0.0383	0.040	0.040	gbgene10129,gbgene10175,gbgene10496,gbgene11985,gbgene12071,gbgene12085,gbgene1255,gbgene12594,gbgene12800,gbgene1304,gbgene13577,gbgene13610,gbgene13704,gbgene13852,gbgene13853,gbgene13854,gbgene13980,gbgene14071,gbgene14283,gbgene14450,gbgene14474,gbgene14761,gbgene1507,gbgene15184,gbgene1534,gbgene15368,gbgene1566,gbgene15697,gbgene15698,gbgene15699,gbgene15700,gbgene15701,gbgene15702,gbgene15709,gbgene15711,gbgene16060,gbgene16352,gbgene16529,gbgene16530,gbgene1662,gbgene16676,gbgene1672,gbgene16872,gbgene16996,gbgene17089,gbgene17118,gbgene17119,gbgene17120,gbgene17221,gbgene17288,gbgene17581,gbgene17844,gbgene18002,gbgene18289,gbgene18597,gbgene18694,gbgene18695,gbgene19307,gbgene19619,gbgene19620,gbgene2393,gbgene2508,gbgene2610,gbgene2642,gbgene2874,gbgene3142,gbgene3143,gbgene3266,gbgene3346,gbgene3348,gbgene3349,gbgene3534,gbgene3653,gbgene3662,gbgene379,gbgene386,gbgene392,gbgene4283,gbgene4886,gbgene5052,gbgene5156,gbgene517,gbgene5410,gbgene5591,gbgene5748,gbgene5862,gbgene6041,gbgene6043,gbgene6044,gbgene6076,gbgene6099,gbgene6174,gbgene6176,gbgene6211,gbgene632,gbgene6537,gbgene6585,gbgene6663,gbgene6683,gbgene6727,gbgene6818,gbgene6847,gbgene686,gbgene7214,gbgene7269,gbgene7487,gbgene8,gbgene8328,gbgene8424,gbgene8458,gbgene8574,gbgene8724,gbgene878,gbgene8868,gbgene8949,gbgene9264,gbgene9905,gbman.GBUE000679-PA.1,gbman.GBUE003256-PA.1,gbman.GBUE006265-PA.1,gbman.GBUE020953-PA.1,gbman.GBUE021241-PA.1
GO:0018990	ecdysis, chitin-based cuticle	33	2	0.21	13	0.018	0.018	0.01777	0.0989	0.018	0.018	gbgene12463,gbgene13170,gbgene13171,gbgene13604,gbgene13605,gbgene13793,gbgene1414,gbgene15013,gbgene15227,gbgene15232,gbgene15376,gbgene15377,gbgene15379,gbgene15381,gbgene15382,gbgene15876,gbgene16210,gbgene18454,gbgene19009,gbgene19124,gbgene19786,gbgene2018,gbgene2020,gbgene312,gbgene6744,gbgene8215,gbgene8792,gbgene8887,gbgene9399,gbgene9622,gbman.GBUE004915-PA.1,gbman.GBUE020960-PA.1,gbman.GBUE021385-PA.1
GO:0031034	myosin filament assembly	10	1	0.06	32	0.061	0.061	0.06053	0.0187	0.061	0.061	gbgene11537,gbgene13965,gbgene13966,gbgene13967,gbgene13968,gbgene16871,gbgene2597,gbgene2838,gbgene5691,gbgene8243
